A (a),(ā),(eh´-ee)
administered,ad-min´-ə-stẽrd,åh-d-mih´-nih-sterh-d
administering,ad-min´-ə-stẽr-iŋ,åh-d-mih´-nih-sterh-ih-eeng
administrable,ad-min´-ə-strə-b’l,åh-d-mih´-nih-struh-bôô-l
administrate (administrates),ad-min′-ə-strāt´ (s),åh-d-mih′-nih-streh´-ee-t (s)
administrated,ad-min′-ə-strāt´-ed,åh-d-mih′-nih-streh´-ee-teh-d
administrating,ad-min′-ə-strāt´-iŋ,åh-d-mih′-nih-streh´-ee-tih-eeng
administration (administrations),ad-min´-ə-strā′-shən (z),åh-d-mih´-nih-streh′-ee-shuh-n (z)
administrative,ad-min´-ə-strā′-tiv,åh-d-mih´-nih-streh′-ee-tih-v
administratively,ad-min´-ə-strā′-tiv-li,åh-d-mih´-nih-streh′-ee-tih-v-lee
administrator (administrators),ad-min′-ə-strā´-tẽr (z),åh-d-mih´-nih-streh′-ee-terh (z)
administrix,ad-min′-ə-striks´,åh-d-mih´-nih-strih′-ks
admirable,ad´-mə-rə-b'l,åh´-d-mih-ruh-bôô-l
admirably,ad´-mə-rə-b'l-li (ad´-mə-rə-bli),åh´-d-mih-ruh-bôô-lee (åh´-d-mih-ruh-blee)
admirableness,ad´-mə-rə-b'l-nes,åh´-d-mih-ruh-bôô-l-neh-s
admiral (admirals),ad´-mẽr-əl (z),åh´-d-merh-uh-l (z)
admirality,ad´-mẽr-al′-ə-ti,åh´-d-merh-åh′-lih-tee
admiration,ad´-mẽr-ā′-shən,åh´-d-merh-eh′-ee-shuh-n
admire (admires),ad-mīr´ (z),åh-d-muh´-ee-erh (z)
admired,ad-mīrd´,åh-d-muh´-ee-erh-d (åh-d-muh´-yerh-d)
admirer (admirers),ad-mīr´-ẽr (z),åh-d-muh´-ee-erh-erh (z) (yerh-erh) (z)
admiring,ad-mīr´-iŋ,åh-d-muh´-ee-erh-ih-eeng (yerh-ih-eeng)
admiringly,ad-mīr´-iŋ-li,åh-d-muh´-ee-erh-ih-eeng-lee
admissibility,ad-mis´-ə-bil′-ə-ti,åh-d-mih´-sih-bih′-lih-tee
admissible,ad-mis´-ə-b'l,åh-d-mih´-sih-bôô-l
admission (admissions),ad-mish´-ən (z),åh-d-mih´-shuh-n (z)
admit (admits),ad-mit´ (s),åh-d-mih´-t (s)
admittance,ad-mit´-ens,åh-d-mih´-teh-n-s
admitted,ad-mit´-ed,åh-d-mih´-teh-d
admittedly,ad-mit´-ed-li,åh-d-mih´-teh-d-lee
admitting,ad-mit´-tiŋ,åh-d-mih´-tih-eeng
admixtured,ad-miks´-chẽrd,åh-d-mih´-ks-cherh-d
admonish (admonished),ad-mon´-ish(d),åh-d-mah´-nih-sh (d)
admonishes,ad-mon´-ish-ez,åh-d-mah´-nih-sheh-z
admonishing,ad-mon´-ish-iŋ,åh-d-mah´-nih-shih-eeng
admonishment (adonishments),ad-mon´-ish-mənt (s),åh-d-mah´-nih-sh-meh-n-t (s)
admonition (admonitions),ad´-mo-nə´-shən (z),åh´-d-mah-nih′-shuh-n (z)
admonitory,ad-mon′-ə-tôr´-i,åh-d-mah′-nih-toh´-ree
adnate,ad´-nāt,åh´-d-neh-ee-t
ad nauseam,ad nô´-shi-am (nô´-zi-əm),åh-d naw′-shee-åh-m (naw′-zee-uh-m)
ado,ə-dōō´,uh-doo´
adobe,ə-dō´-bi,uh-doh´-oo-bee
adolescence,ad´-ə-'les´-əns,åh´-doh-leh´-seh-n-s
adolescent (adolescents),ad´-ə-'l-es′-‘nt (s),åh´-doh-leh′-seh-n-t (s)
Adonai,ad′-dō-nī´,åh′-doh-oo-nah´-ee
adonic,ə-don´-ik,uh-dah´-nih-k
adonis,ə-don´-is,uh-dah´-nih-s
adopt (adopts),ə-dopt´(s),uh-dah´-pt (s)
adopted,ə-dopt´-ed,uh-dah´-p-teh-d
adoptable,ə-dopt´-ə-b’l,uh-dah´-pt-uh-bôô-l
adopter (adopters),ə-dopt´-ẽr (z),uh-dah´-p-terh (z)
adopting,ə-dopt´-iŋ,uh-dah´-p-tih-eeng
adoption (adoptions),ə-dopt´-shən (z),uh-dah´-p-shuh-n (z)
adoptionism,ə-dopt´-shən-iz’m,uh-dah´-p-shuh-nih-zih-m
adoptive,ə-dop´-tiv,uh-dah´-p-tih-v
adoptively,ə-dop´-tiv-li,uh-dah´-p-tih-v-lee
adorability,ə-dôr´-ə-bil′-ə-ti,uh-doh´-erh-uh-bih′-lih-tee
adorable,ə-dôr´-ə-b'l,uh-doh´-erh-uh-bôô-l
adorablely,ə-dôr´-ə-b'li (ə-dôr´-ə-bli),uh-doh´-erh-uh-bôô-lee (uh-doh´- erh-uh-blee)
adorableness,ə-dôr´-ə-b'l-nes,uh-doh´-erh-uh-bôô-l-neh-s
adoration (adorations),ad´-dôr-ā′-shən (z),åh´-doh-erh-eh′-ee-shuh-n (z)
adore (adores),ə-dôr´ (z),uh-doh´-erh (z)
adored,ə-dôrd´,uh-doh´-erh-d
adorer (adorers),ə-dôr´-ẽr (z),uh-doh´-erh-erh (z)
adoring,ə-dôr´-iŋ,uh-doh´-rih-eeng
adoringly,ə-dôr´-iŋ-li,uh-doh´-rih-eeng-lee
adorn (adorns),ə-dôrn´ (z),uh-doh´-erh-n (z)
adorned,ə-dôrnd´,uh-doh´-erh-n-d
adorning,ə-dôrn´-iŋ,uh-doh´-erh-nih-eeng
adorningly,ə-dôrn´-iŋ-li,uh-doh´-erh-nih-eeng-lee
adornment (adornments),ə-dôrn´-mənt (s),uh-doh´-erh-n-meh-n-t (s)
ADP (adenosine diphosphate),ā´ di p ē′,eh´-ee dee pee′
adrenal,ad-rē´-nəl,åh-dree´-nuh-l
adrenalin,ad-rən´-əl-in,åh-dreh´-nuh-lih-n
adrenergic,ad´-rə-nẽr′-jik,åh´-dreh-nerh′-djih-k
adrenocorticotropic,ad-rē′-nō-kôr´-tə-kō-trop′-ik,åh-dree′-noh-oo-koh´-erh-tih-koh-oo-trah′-pih-k
adrenocorticotrophic,ad-rē′-nō-kôr´-tə-kō-trof ′-ik,åh-dree′-noh-oo-koh´-erh-tih-koh-oo-trah′-fih-k
Adriatic,ā´-dri-at′-ik,eh´-ee-dree-åh′-tih-k
adrift,ə-drift´,uh-drih´-ft
adroit,ə-droit´,uh-droh´-ee-t
adroitly,ə-droit´-li,uh-droh´-ee-t-lee
adroitness,ə-droit´-nes,uh-droh´-ee-t-neh-s
adscititious,ad´-sə-tish′-əs,åh´-d-sih-tih′-shuh-s
adscititiously,ad´-sə-tish′-əs-li,åh´-d-sih-tih′-shuh-s-lee
adscript,ad´-skript,åh´-d-skrih-pt
adsorb (adsorbs),ad-sôrb´ (z),åh-d-zoh´-erh-b (z)
adsorbed,ad-sôrbd´,åh-d-zoh´-erh-bd
adsorbate,ad´-sôrb′-āt (ad´-sôrb′-it),åh´-d-zoh′-erh-beh-ee-t (åh´-d-zoh′-erh-bih-t)
adsorbent,ad´-sôrb′ -ənt,åh´-d-zoh′-erh-beh-n-t
adsorbing,ad-sôrb´-iŋ,åh-d-zoh´-erh-bih-eeng
adsorption,ad´-sôrp′-shən,åh´-d-zoh′-erh-p-shuh-n
adularia,ad´-ū-lâr′-i-ə,åh´-dyoo-leh′-ree-uh
adulate (adulates),ad′-ū-lāt´(s),åh′-d-yoo-leh´-ee-t (s)
adulated,ad′-ū-lāt´-ed,åh′-d-yoo-leh´-ee-teh-d
adulating,ad′-ū-lāt´-iŋ,åh′-d-yoo-leh´-ee-tih-eeng
adulation,ad´-ū-lā′-shən,åh´-d-yoo-leh′-ee-shuh-n
adulator (adulators),ad′-ū-lāt´-ẽr (z),åh′-d-yoo-leh´-ee-terh (z)
adulatory,ad′-ū-lə-tôr´-i,åh′-d-yoo-luh-toh´-ree
adult (adults),ə-dult´ (s),uh-duh´-l-t (s)
adulterant (adulterants),ə-dul′-tẽr-ənt´(s),uh-duh′-l-terh-eh´-n-t (s)
adulterate (adulterates),ə-dul′-tẽr-āt´(s),uh-duh′-l-terh-eh´-ee-t (s)
adulterated,ə-dul′-tẽr-āt´-ed,uh-duh′-l-terh-eh´-ee-teh-d
adulterating,ə-dul′-tẽr-āt´-iŋ,uh-duh′-l-terh-eh´-ee-tih-eeng
adulteration,ə-dul´-tẽr-ā′-shən,uh-duh´-l-terh-eh′-ee-shuh-n
adulterator (adulterators),ə-dul′-tẽr-āt´-ẽr (z),uh-duh′-l-terh-eh´-ee-terh (z)
adulterer (adulterers),ə-dul´-tẽr-ẽr(z),uh-duh´-l-terh-erh (z)
adulteress,ə-dul´-tẽr-es,uh-duh´-l-terh-eh-s
adulteries,ə-dul´-tẽr-ēz,uh-duh´-l-terh-ree-z
adulterine,ə-dul′-tẽr-ēn´,uh-duh′-l-terh-ee´-n
adulterous,ə-dul´-tẽr-əs,uh-duh´-l-terh-uh-s
adulterously,ə-dul´-tẽr-əs-li,uh-duh´-l-terh-uh-slee
adultery,ə-dul´-tẽr-i,uh-duh´-l-terh-ree
adulthood,ə-dul´-t-hood,uh-duh´-l-t-hôô-d
adumbrate (adumbrates),ad′-əm-brāt´(s),åh′-duh-m-breh´-ee-t (s)
adumbrated,ad′-əm-brāt´-ed,åh′-duh-m-breh´-ee-teh-d
adumbrating,ad′-əm-brāt´-iŋ,åh′-dum-breh´-ee-tih-eeng
adumbration,ad´-əm-brā′-shən,åh´-dum-breh′-ee-shuh-n
adumbrative,ad´-əm-brā′-tiv,åh´-dum-breh′-ee-tih-v
adumbratively,ad´-əm-brā′-tiv-li,åh´-dum-breh′-ee-tih-v-lee
adust,ə-dust´,uh-duh´-st
advalorem,ad-və-lō´-rəm,åh-d-vuh-loh´-reh-m
advance,ad-vans´,åh-d-våh´-n-s
advanced,ad-vansd´,åh-d-våh´-n-sd
advances,ad-vans´-ez,åh-d-våh´-n-seh-z
advancement (advancements),ad-vans´-mənt (s),åh-d-våh´-n-smeh-n-t (s)
advancing,ad-vans´-iŋ,åh-d-våh´-n-sih-eeng
advantage,ad-van´-tij,åh-d-våh´-n-tih-j
advantaged,ad-van´-tijd,åh-d-våh´-n-tih-jd
advantages,ad-van´-tij-ez,åh-d-våh´-n-tih-jeh-z
advantaging,ad-van´-tij-iŋ,åh-d-våh´-n-tih-jih-eeng
advantageous,ad´-vən-tā′-jəs,åh´-d-veh-n-teh′-ee-juh-s
advantageously,ad´-vən-tā′-jəs-li,åh´-d-veh-n-teh′-ee-juh-slee
advantageousness,ad´-vən-tā′-jəs-nes,åh´-d-veh-n-teh′-ee-juh-s-neh-s
advection,ad-vək´-shən,åh-d-veh´-k-shuh-n
advene,ad-vēn´,åh-d-vee´-n
advent (advents),ad´-vənt (s),åh´-d-veh-n-t (s)
adventism,ad-vənt´-is’m,åh-d-veh´-n-tih-zih-m
adventist,ad-vənt´-ist,åh-d-veh´-n-tih-st
adventitia,ad´-vən-tish′-i-ə,åh´-d-veh-n-tih′-shee-uh
adventitious,ad´-vən-tish′-əs,åh´-d-veh-n-tih′-shuh-s
adventitiously,ad´-vən-tish′-əs-li,åh´-d-veh-n-tih′-shuh-slee
adventitiousness,ad´-vən-tish′-əs-nes,åh´-d-veh-n-tih′-shuh-s-neh-s
adventive,ad-vən´-tiv,åh-d-veh´-n-tih-v
adventure (adventures),ad-vən´-chẽr (z),åh-d-veh´-n-cherh (z)
adventured,ad-vən´-chẽrd,åh-d-veh´-n-cherh-d
adventurer (adventurers),ad-vən´-chẽr-ẽr (z),åh-d-veh´-n-cherh-erh (z)
adventuresome,ad-vən´-chẽr-səm,åh-d-veh´-n-cherh-suh-m
adventuress,ad-vən´-chẽr-es,åh-d-veh´-n-cherh-eh-s
adventuring,ad-vən´-chẽr-iŋ,åh-d-veh´-n-cherh-ih-eeng
adventurism,ad-vən´-chẽr-iz-‘m,åh-d-veh´-n-cherh-ih-zih-m
adventurous,ad-vən´-chẽr-əs,åh-d-veh´-cherh-uh-s
adventurously,ad-vən´-chẽr-əs-li,åh-d-veh´-cherh-uh-slee
adventurousness,ad-vən´-chẽr-əs-nes,åh-d-veh´-cherh-uh-s-neh-s
adverb (adverbs),ad´-vẽrb (z),åh´-d-verh-b (z)
adverbial,ad-vũrb´-i-əl,åh-d-verh´-bee-uh-l
adverbially,ad-vũrb´-i-əl-li,åh-d-verh´-bee-uh-lee
ad verbum,ad vũr´-bəm,åh-d verh´-buh-m
adversaries,ad′-vẽr-sâr´-ēz (ad-vẽr´-sẽr-ēz),åh′-d-verh-seh´-ree-z (åh-d-verh´-serh-ee-z)
adversary,ad′-vẽr-sâr´-i,åh′-d-verh-seh´-ree
adversarial,ad´-vẽr-sâr′-i-əl,åh´-d-verh-seh′-ree-uh-l
adversarially,ad´-vẽr-sâr′-i-əl-li,åh´-d-verh-seh′-ree-uh-lee
adversative,ad-vũrs´-ə-tiv,åh-d-verh´-suh-tih-v
adversatively,ad-vũrs´-ə-tiv-li,åh-d-verh´-suh-tih-v-lee
adverse,ad´-vẽr-s (ad-vũrs´),åh´-d-verh-s (åh-d-verh´-s)
adversely,ad-vũrs´-li,åh-d-verh´-slee
adverseness,ad-vũrs´-nes,åh-d-verh´-s-neh-s
adversities,ad-vũr´-sə-tēz,åh-d-verh´-sih-tee-z
adversity,ad-vũr´-sə-ti,åh-d-verh´-sih-tee
advert (adverts),ad-vũrt´ (s),åh-d-verh´-t (s)
adverted,ad-vũrt´-ed,åh-d-verh´-teh-d
advertence,ad-vũrt´-əns,åh-d-verh´-teh-n-s
advertency,ad-vũrt´-əns-i,åh-d-verh´-teh-n-see
advertent,ad-vũrt´-ənt,åh-d-verh´-teh-n-t
advertently,ad-vũrt´-ənt-li,åh-d-verh´-teh-n-t-lee
adverting,ad-vũrt´-iŋ,åh-d-verh´-tih-eeng
advertise,ad′-vẽr-tīz´,åh′-d-verh-tah´-ee-z
advertised,ad′-vẽr-tīzd´,åh′-d-verh-tah´-ee-zd
advertises,ad′-vẽr-tīz´-ez,åh′-d-verh-tah´-ee-zeh-z
advertisement,ad´-vẽr-tīz′-mənt (ad-vũr′-tiz-mənt),åh´-d-verh-tah′-ee-z-meh-n-t (åh-d-verh′-tih-z-meh-n-t)
advertising,ad′-vẽr-tīz´-iŋ,åh′-d-verh-tah´-ee-zih-eeng
advice,ad-vīs´,åh-d-vuh´-ee-s
advisability,ad-vīz´-ə-bil′-ə-ti,åh-d-vah´-ee-zuh-bih′-lih-tee
advisable,ad-vīz´-ə-b'l,åh-d-vah´-ee-zuh-bôô-l
advisably,ad-vīz´-ə-bli,åh-d-vah´-ee-zuh-blee
advise,ad-vīz´,åh-d-vah´-ee-z
advised,ad-vīzd´,åh-d-vah´-ee-zd
advisedly,ad-vīz´-ed-li,åh-d-vah´-ee-zeh-d-lee
advises,ad-vīz´-ez,åh-d-vah´-ee-zeh-z
advisedness,ad-vīz´-ed-nes,åh-d-vah´-ee-zeh-d-neh-s
advisor (adviser) (advisors),ad-vīz´-ẽr (z),åh-d-vah´-ee-zerh (z)
advising,ad-vīz´-iŋ,åh-d-vah´-ee-zih-eeng
advisingly,ad-vīz´-iŋ-li,åh-d-vah´-ee-zih-eeng-lee
advisement,ad-vīz´-mənt,åh-d-vah´-ee-z-meh-n-t
advisements,ad-vīz´-mənts,åh-d-vah´-ee-z-meh-n-ts
advisories,ad-vīz´-ə-rēz,åh-d-vah´-ee-zoh-ree-z
advisory,ad-vīz´-ə-ri,åh-d-vah´-ee-zoh-ree
advocacy,ad′-vō-kə-si,åh′-d-voh-oo-kuh-see
advocate,ad′-vō-kāt´ (ad′-vō-kit´),åh′-d-voh-oo-keh´-ee-t (åh′-d-voh-oo-kih´-t)
advocated,ad′-vō-kāt´-ed,åh′-d-voh-oo-keh´-ee-teh-d
advocates,ad′-vō-kāts´ (ad′-vō-kits´),åh′-d-voh-oo-keh´-ee-ts (åh′-d-voh-oo-kih-ts)
advocating,ad′-vō-kāt´-iŋ,åh′-d-voh-oo-keh´-ee-tih-eeng
advocation,ad´-vō-kā′-shən,åh´-d-voh-oo-keh′-ee-shuh-n
adynamia,ad′-ə-nā′-mē-ə,åh´-dih-neh′-ee-mee-uh
adytum,ad′-ə-təm,åh´-dih-tuh-m
adz (adze),adz,åh′-dz
aedes,ā-ē´-dēz,eh-ee-ee´-dee-z
aedile,ē´-dīl,ee´-dah-ee-l
Aegean Sea,ē-jē´-ən sē′′,ee-jee´-ih-n see′
aegis,ē´-jis,ee´-jih-s
Aeneas,ə-nē´-əs,ih-nee´-uh-s
aeneolithic,ā-ē´-nē-ō-lith′-ik,eh-ee-ee´-nee-oh-oo-lih′-thih-k
aeolian,ē-ō´-lē-ən,ee-oh´-oo-lee-eh-n
aeolotropic,ē´-ə-lō-trop′-ik,ee´-oh-loh-oo-trah′-pih-k
aeon (aeons),ē´-on (z),ee´-ah-n (z)
aeonian,ē-ō´-nē-ən,ee-oh´-oo-nee-uh-n
aerate (aerates),âr′-āt´ (s),eh′-erh-eh´-ee-t (s)
aerated,âr′-āt´-ed,eh′-erh-eh´-ee-teh-d
aerating,âr′-āt´-iŋ,eh′-erh-eh´-ee-tih-eeng
aeration,âr´-ā′-shən,eh´-erh-eh′-ee-shuh-n
aerator (aerators),âr′-āt´-ẽr (z),eh′-erh-eh´-ee-terh (z)
aerial,âr′-i-əl,eh′-erh-ee-uh-l
aerialist (aerialists),âr′-i-əl-ist (s),eh′-erh-ee-uh-lih-st (s)
aerie,âr´-i,eh´-ree
aeries,âr´-ēz,eh´-ree-z
aeriferous,â-rif´-ẽr-əs,eh-rih´-ferh-uh-s
aerification,âr´-i-fi-kā′-shən,eh´-rih-fih-keh′-ee-shuh-n
aerified,âr′-i-fīd´,eh′-rih-fah´-ee-d
aerifies,âr′-i-fīz´,eh′-rih-fah´-ee-z
aerify,âr′-i-fī´,eh′-rih-fah´-ee
aerifying,âr′-i-fī´-iŋ,eh′-rih-fah´-ee-ih-eeng
aero-,âr´-ō-,eh´-roh-oo-
aerobatic (aerobatics),âr´-ō-bat′-ik (s),eh´-roh-oo-båh′-tih-k (s)
aerobe,âr´-ōb,eh´-roh-oo-b
aerobic (aerobics),âr-ō´-bik (s),eh-roh´-oo-bih-k (s)
aerobiosis,âr´-ō-bī-ō′-sis,eh´-roh-oo-bah-ee-oh′-oo-sih-s
aerobia,â-rō´-bi-ə,eh-roh´-oo-bee-uh
aerobium,â-rō´-bi-əm,eh-roh´-oo-bee-uh-m
aerodrome,âr´-ō-drōm,eh´-roh-oo-droh-oo-m
aerodynamic (aerodynamics),âr´-ō-dī-nam′-ik (s),eh´-roh-oo-dah-ee-nåh′-mih-k (s)
aerodynamicist,âr´-ō-dī-nam′-ə-sist,eh´-roh-oo-dah-ee-nåh′-mih-sih-st
aerodynamicists,âr´-ō-dī-nam′-ə-sists,eh´-roh-oo-dah-ee-nåh′-mih-sih-sts
aerodyne,âr´-ə-dīn′,eh´-ruh-dah′-ee-n
aeroembolism,âr´-ō-em′-bə-liz’m,eh´-roh-oo-eh′-m-boh-lih-zih-m
aeroemphysema,âr´-ō-em´-fə-sē′-mə,eh´-roh-oo-eh´-m-fuh-see′-muh
aerogram (aerograms),âr´-ō-gram (z),eh´-roh-oo-gråh-m (z)
aerogramme,âr´-ō-gram,eh´-roh-oo-gråh-m
aerographer (aerographers),â-rog´-rə-fẽr (z),eh-rah´-gruh-ferh (z)
aerography,â-rog´-rə-fē,eh-rah´-gruh-fee
aerolite,âr′-ə-līt´,eh′-roh-luh´-ee-t
aerolith,âr′-ə-lith´,eh′-roh-lih´-th
aerolithic,âr´-ə-lith′-ik,eh´-roh-lih′-thih-k
aerological,â´-rə-loj′-i-kəl,eh´-roh-lah′-jih-kuh-l
aerologist (aerologists),â-rol´-ə-jist (s),eh-rah´-luh-jih-st (s)
aerology,â-rol´-ə-ji,eh-rah´-luh-jee
aeromechcanic (aeromechanics),âr´-ō-mə-kan′-ik (s),eh´-roh-oo-meh-kåh′-nih-k (s)
aeromechcanical,âr´-ō-mə-kan′-ik-əl,eh´-roh-oo-meh-kåh′-nih-kuh-l
aerometer,â-rom´-ə-tẽr,eh-rah´-mih-terh
aerometric,âr´-ə-mət′-rik,eh´-roh-meh′-trih-k
aerometry,â-rom´-ə-tri,eh-rah´-mih-tree
aeronaut (aeronauts),âr′-ə-nôt´ (s),eh′-ruh-naw´-t (s)
aeronautics,âr´-ə-nôt′-iks,eh´-roh-naw′-tih-ks
aeronautical,âr´-ə-nôt′-ik-əl,eh´-roh-naw′-tih-kuh-l
aeroneurosis,âr´-ō-nōō-rō′-sis,eh´-roh-oo-noo-roh′-oo-sih-s
aeronomy,âr-ron´-ə-mi,eh-rah´-nuh-mee
aerophore,âr′-ə-fôr´,eh′-roh-foh´-erh
aeroplane,âr′-ō-plān´,eh´-roh-oo-pleh′-ee-n
aeroscepsis,âr´-ō-skəp′-sis,eh´-roh-oo-skeh′-p-sih-s
aeroscepsy,âr´-ō-skəp′-si,eh´-roh-oo-skeh′-p-see
aerosol (aerosols),âr´-ə-sôl´ (z),eh´-ruh-saw´-l (z)
aerosolize,âr′-ə-sôl-īz´,eh′-ruh-saw-lah´-ee-z
aerosolized,âr′-ə-sôl-īzd´,eh′-ruh-saw-lah´-ee-zd
aerosolizes,âr′-ə-sôl-īz´-ez,eh′-ruh-saw-lah´-ee-zeh-z
aerosolizing,âr′-ə-sôl-īz´-iŋ,eh′-ruh-saw-lah´-ee-zih-eeng
aerospace,âr′-ō-spās´,eh′-roh-oo-speh´-ee-s
aerosphere,âr′-ō-sfêr´,eh′-roh-oo-sfih´-erh
aerostat,âr′-ō-stat´,eh′-roh-oo-ståh´-t
aerostatic (aerostatics),âr´-ō-stat′-ik (s),eh´-roh-oo-ståh′-tih-k (s)
aerostatical,âr´-ō-stat′-ik-əl,eh´-roh-oo-ståh′-tih-kuh-l
aerothermodynamics,âr´-ō-thẽr´-mō-dī-nam′-iks,eh´-roh-oo-therh´-moh-oo-dah-ee-nåh′-mih-ks
aery,âr´-i,eh´-ree
Aaesculapian,əs´-kū-lā′-pi-ən,eh´-sk-yoo-leh′-ee-pee-eh-n
Aeschylus,əs´-kə-ləs,eh´-skih-luh-s
Aesop (Aesop’s),ē´-sop (s),ee´-sah-p (s)
aesthete,əs′-thēt´,eh′-s-thee´-t
aesthetic (aesthetics),əs-thət´-ik (s),eh-s-theh´-tih-k (s)
aesthetical,əs-thət´-ik-əl,eh-s-theh´-tih-kuh-l
aesthetically,əs-thət´-ik-əl-li (əs-thət´-ik-li),eh-s-theh´-tih-kuh-lee (eh-s-theh´-tih-klee)
aestheticism,əs-thət´-ə-siz-‘m,eh-s-theh´-tih-sih-zih-m
aestival,əs´-tə-vəl,eh´-stih-vuh-l
aestivate (aestivates),əs′-tə-vāt´ (s),eh′-stih-veh´-ee-t (s)
aestivated,əs′-tə-vāt´-ed,eh′-stih-veh´-ee-teh-d
aestivating,əs′-tə-vāt´-iŋ,eh′-stih-veh´-ee-tih-eeng
aestivation,əs´-tə-vā′-shən,eh´-stih-veh′-ee-shuh-n
aethrioscope,ē′-thri-ə-skōp´,ee′-three-oh-skoh´-oo-p
aetiological,ē′-ti-ə-loj′-ə-kəl,ee´-tee-oh-lah′-jih-kuh-l
aetiologies,ē´-tē-ol′-ə-jēz,ee´-tee-ah′-luh-jee-z
aetiology,ē´-tē-ol′-ə-ji,ee´-tee-ah′-luh-jee
afar,ə-fär´,uh-fah´-erh
afeard (afeared),ə-fêrd´,uh-fih´-erh-d
affability,af´-ə-bil′-ə-ti,åh´-fuh-bih′-lih-tee
affable,af´-ə-b'l,åh´-fuh-bôô-l
affableness,af´-ə-b'l-nes,åh´-fuh-bôô-l-neh-s
affably,af´-ə-bli,åh´-fuh-blee
affair (affairs),ə-fâr´ (z),uh-feh´-erh (z)
affect,af´-əkt,åh´-feh-kt
affect (affects),ə-fəkt´ (s),uh-feh´-kt (s)
affected,ə-fəkt´-ed,uh-feh´-k-teh-d
affectation,af´-ək-tā′-shən,åh´-feh-k-teh′-ee-shuh-n
affecting,a-fək´-tiŋ,åh´-feh´-k-tih-eeng
affectingly,a-fək´-tiŋ-li,åh´-feh´-k-tih-eeng-lee
affection (affections),ə-fək´-shən (z),uh-feh´-k-shuh-n (z)
affectional,ə-fək´-shən-əl,uh-feh´-k-shuh-nuh-l
affectionate,ə-fək´-shən-it,uh-feh´-k-shuh-nih-t
affectionately,ə-fək´-shən-it-li,uh-feh´-k-shuh-nih-t-lee
affectionateness,ə-fək´-shən-it-nes,uh-feh´-k-shuh-nih-t-neh-s
affective,ə-fək´-tiv,uh-feh´-k-tih-v
affectively,ə-fək´-tiv-li,uh-feh´-k-tih-v-lee
affenpinscher,af ´-ən-pin′-shẽr,åh´-feh-n-pih′-n-sherh
afferent,af ´-ẽr-ənt,åh´-ferh-eh-n-t
affettuoso,ə-fəch´-ōō-ō′-sō,uh-feh´-choo-oh′-oo-soh-oo
affiance,ə-f ī´-əns,uh-fah´-ee-eh-n-s
affiant,ə-f ī´-ənt,uh-fah´-ee-eh-n-t
affidavit (affidavits),af´-ə-dā′-vit (s),åh´-fih-deh′-ee-vih-t (s)
affiliate (affiliates),ə-fil′-i-āt´ (ə-fil′-i-it´) (s),uh-fih′-lee-eh´-ee-t (uh-fih′-lee-ih´-t)(s)
affiliated,ə-fil′-i-āt´-ed,uh-fih′-lee-eh´-ee-teh-d
affiliating,ə-fil′-i-āt´-iŋ,uh-fih′-lee-eh´-ee-tih-eeng
affiliation,ə-fil´-i-ā′-shən,uh-fih´-lee-eh′-ee-shuh-n
affiliations,ə-fil´-i-ā′-shənz,uh-fih´-lee-eh′-ee-shuh-n-z
affine,ə-f īn´,uh-fah´-ee-n
affined,ə-f īnd´,uh-fah´-ee-n-d
affinitive,ə-fin´-ə-tiv,uh-fih´-nih-tih-v
affinities,ə-fin´-ə-tēz,uh-fih´-nih-tee-z
affinity,ə-fin´-ə-ti,uh-fih´-nih-tee
affirm (affirms),ə-fũrm´(z),uh-ferh´-m (z)
affirmed,ə-fũrmd´,uh-ferh´-m-d
affirmable (affirmably),ə-fũrm´-ə-b’l (ə-fũrm´-ə-b’li),uh-ferh´-muh-bôô-l (uh-ferh´-muh-blee)
affirmance,ə-fũrm´-əns,uh-ferh´-meh-n-s
affirmant (affirmants),ə-fũrm´-ənt (s),uh-ferh´-meh-n-t (s)
affirmation (affirmations),af ´-ẽr-mā′-shən (z),åh´-ferh-meh′-ee-shuh-n (z)
affirmative (affirmatives),ə-fũr´-mə-tiv (z),uh-ferh´-muh-tih-v (z)
/ action,/ ak´-shən,/ åh´- k-shuh-n
affirmatively,ə-fũr´-mə-tiv-li,uh-ferh´-muh-tih-v-lee
affirmer (affirmers),ə-fũr´-mẽr (z),uh-ferh´-merh (z)
affirming,ə-fũrm´-iŋ,uh-ferh´-mih-eeng
affix (affixed),ə-fiks´ (ə-fiksd´),uh-fih´-ks (uh-fih´-ksd) uh-fih´-ksd
affixable,ə-fiks´-ə-b’l,uh-fih´-k-suh-bôô-l
affixation,af´-ik-sā′-shən,åh´-fih-k-seh′-ee-shuh-n
affixes,ə-fiks´-ez,uh-fih´-k-seh-z
affixing,ə-fiks´-iŋ,uh-fih´-k-sih-eeng
afflatus,ə-flā′-təs,uh-fleh´-ee-tuh-s
afflict (afflicts),ə-flikt´ (s),uh-flih´-kt (s)
afflicted,ə-flikt´-ed,uh-flih´-k-teh-d
afflicter (afflicters),ə-flikt´-ẽr (z),uh-flih´-k-terh (z)
afflicting,ə-flikt´-iŋ,uh-flih´-k-tih-eeng
affliction (afflictions),ə-flik´-shən (z),uh-flih´-k-shuh-n (z)
afflictive (afflictively),ə-flikt´-tiv (ə-flikt´-tiv-li),uh-flih´-k-tih-v (uh-flih´-k-tih-v-lee)
affluence,af´-lōō-əns,åh´-floo-eh-n-s
